x,y_interpolated
2460162.675,0.9947083264
2460162.676,0.9908259348
2460162.676,0.9876212096
2460162.676,0.9855439334
2460162.676,0.9850438523
2460162.676,0.9864309903
2460162.676,0.9894096139
2460162.676,0.9935198978
2460162.676,0.9983019675
2460162.677,1.003295992
2460162.677,1.008043567
2460162.677,1.012098494
2460162.677,1.015020151
2460162.677,1.01636787
2460162.677,1.015701013
2460162.677,1.012591883
2460162.677,1.007324487
2460162.678,1.001250064
2460162.678,0.9958075122
2460162.678,0.9924357457
2460162.678,0.9925736536
2460162.678,0.9970103414
2460162.678,1.004193429
2460162.678,1.012043394
2460162.679,1.018480707
2460162.679,1.021425839
2460162.679,1.019073279
2460162.679,1.012211996
2460162.679,1.003060998
2460162.679,0.9938542309
2460162.679,0.9868256232
2460162.679,0.9841673073
2460162.68,0.9864919709
2460162.68,0.9923882368
2460162.68,1.000312191
2460162.68,1.008719947
2460162.68,1.016067751
2460162.68,1.021206764
2460162.68,1.024195743
2460162.681,1.025323535
2460162.681,1.02487898
2460162.681,1.023150932
2460162.681,1.020427259
2460162.681,1.016992957
2460162.681,1.013133614
2460162.681,1.009134914
2460162.681,1.005282499
2460162.682,1.001857471
2460162.682,0.999012762
2460162.682,0.9967585975
2460162.682,0.9950977509
2460162.682,0.9940329712
2460162.682,0.9935669781
2460162.682,0.9936823629
2460162.682,0.9943086279
2460162.683,0.9953666276
2460162.683,0.9967772172
2460162.683,0.9984612517
2460162.683,1.000324952
2460162.683,1.00217546
2460162.683,1.003778889
2460162.683,1.00490121
2460162.684,1.005308397
2460162.684,1.004778273
2460162.684,1.003355775
2460162.684,1.001349875
2460162.684,0.9990807901
2460162.684,0.996868728
2460162.684,0.9950335877
2460162.684,0.9938014005
2460162.685,0.9931761835
2460162.685,0.9931298543
2460162.685,0.9936343331
2460162.685,0.9946615336
2460162.685,0.9961663859
2460162.685,0.9980009597
2460162.685,0.9999788282
2460162.686,1.001913476
2460162.686,1.003618409
2460162.686,1.004911855
2460162.686,1.005702446
2460162.686,1.005980011
2460162.686,1.005737259
2460162.686,1.004966903
2460162.686,1.003661752
2460162.687,1.00182068
2460162.687,0.9994505082
2460162.687,0.9965583404
2460162.687,0.9931512861
2460162.687,0.9892364545
2460162.687,0.984877487
2460162.687,0.9804328249
2460162.688,0.9763565898
